,ticker,company_name,NASDAQ_sector
3,JLL,Jones Lang LaSalle Incorporated Common Stock,Financial
4,DEI,"Douglas Emmett, Inc. Common Stock",Financial
5,SCRYY,SCOR S.E. (France) ADR (Sponsored),Financial
6,ZION,Zions Bancorporation N.A. Common Stock,Financial
7,VIRT,"Virtu Financial, Inc. Class A Common Stock",Financial
8,LM,"Legg Mason, Inc. Common Stock",Financial
9,FR,"First Industrial Realty Trust, Inc. Common Stock",Financial
10,REXR,"Rexford Industrial Realty, Inc. Common Stock",Financial
11,ORI,Old Republic International Corporation Common Stock,Financial
12,PBNNF,PT Bank Negara (Indonesia),Financial
13,AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),Financial
14,JPRRF,Japan Prime Rlty Invt Crp,Financial
15,ADZZF,Advance Residence Inv Ord,Financial
16,STOR,STORE Capital Corporation Common Stock,Financial
17,CMA,Comerica Incorporated Common Stock,Financial
18,NYCB,"New York Community Bancorp, Inc. Common Stock",Financial
19,BCVVF,BOC Aviation Ltd,Financial
0,HLI,"Houlihan Lokey, Inc. Class A Common Stock",Financial
1,PRI,"Primerica, Inc. Common Stock",Financial
2,CFR,"Cullen/Frost Bankers, Inc. Common Stock",Financial
3,RHBAF,RHB Bank Berhad - Ordinary Shares,Financial
4,MAPIF,Mapletree Industrial Tr,Financial
5,UOLGF,UOL Group Ltd,Financial
6,KIM,Kimco Realty Corporation Common Stock,Financial
7,CRZBY,Commerzbank AG (Germany Fed. Rep.) ADR (Sponsored) New,Financial
8,LSI,"Life Storage, Inc. Common Stock",Financial
9,TFSL,TFS Financial Corporation Common Stock,Financial
10,ACC,American Campus Communities Inc Common Stock,Financial
11,MZTFF,Mizrahi Tefahot Bank Ltd,Financial
12,HR,Healthcare Realty Trust Incorporated Common Stock,Financial
13,CHBAF,Chiba Bank Ltd,Financial
14,EV,Eaton Vance Corporation Common Stock,Financial
15,EQC,Equity Commonwealth Common Shares of Beneficial Interest,Financial
16,STKAF,Stockland Stapled Sec,Financial
17,SZKBF,Shizuoka Bank Ltd (Japan),Financial
18,KRYPF,Kerry Properties Hk,Financial
19,EGP,"EastGroup Properties, Inc. Common Stock",Financial
0,GPFOF,Grupo Fin Inbursa Sa O,Financial
1,QTS,"QTS Realty Trust, Inc. Class A Common Stock",Financial
2,HYSNF,Hysan Development Co. Ltd.,Financial
3,AGPYF,Agile Property Holdings Ltd,Financial
4,KMPR,Kemper Corporation,Financial
5,BTLCY,British Land Co. PLC ADR Sponsored,Financial
6,VRT,"Vertiv Holdings, LLC Class A Common Stock",Financial
7,CPITF,Capitaretail China Trust Units,Financial
8,HQY,"HealthEquity, Inc. Common Stock",Financial
9,FFIN,"First Financial Bankshares, Inc. Common Stock",Financial
10,UUICF,UUICF,Financial
11,KMERF,Komercni Banka A.S. (Czech Republic),Financial
12,CUZ,Cousins Properties Incorporated Common Stock,Financial
13,JBGS,JBG SMITH Properties Common Shares ,Financial
14,BSMX,"Banco Santander Mexico, S.A., Institucion de Banca Multiple, Grupo Financiero Santander Mexico",Financial
15,CNPPF,China Overseas Property Holdings Ltd,Financial
16,MRPRF,Merlin Properties Socimi SA,Financial
17,TCF,TCF Financial Corporation Common Stock,Financial
18,NMEHF,Nomura Rl Est Hldgs Inc,Financial
19,FSRPF,Frasers Property Ltd,Financial
0,RELOF,Relo Group Inc,Financial
1,APYRF,Allied Properties Real Estate Investment Trust Unit,Financial
2,STAG,"Stag Industrial, Inc. Common Stock",Financial
3,HNLGF,Hang Lung Group Ltd,Financial
4,GBCI,"Glacier Bancorp, Inc. Common Stock",Financial
5,ISDAF,Israel Disc Bk Ord,Financial
6,CNRAF,VINCINITY CENTRES,Financial
7,FSV,FirstService Corporation Common Shares,Financial
8,FCNCA,"First Citizens BancShares, Inc. Class A Common Stock",Financial
9,JEF,Jefferies Financial Group Inc. Common Stock,Financial
10,CMPNF,Champion Re Invst Tr,Financial
11,SPCE,"Virgin Galactic Holdings, Inc. Common Stock",Financial
12,STWD,"STARWOOD PROPERTY TRUST, INC. Starwood Property Trust Inc.",Financial
13,AER,AerCap Holdings N.V. Ordinary Shares,Financial
14,HLNE,Hamilton Lane Incorporated Class A Common Stock,Financial
15,HIW,"Highwoods Properties, Inc. Common Stock",Financial
16,THG,Hanover Insurance Group Inc,Financial
17,JHG,Janus Henderson Group plc Ordinary Shares,Financial
18,FBASF,Deutsche Bank Mexico SA,Financial
19,BRLPF,BR Malls Participacoes SA,Financial
0,ADC,Agree Realty Corporation Common Stock,Financial
